date,rainfall,wind_speed
2024-11-10,0.381,1.173
2024-11-11,0.538,0.918
2024-11-12,1.234,1.194
2024-11-13,2.002,0.931
2024-11-14,11.266,0.841
2024-11-15,7.727,0.63
2024-11-16,2.853,0.874
2024-11-17,4.175,0.765
2024-11-18,0.725,1.073
2024-11-19,2.688,1.166
2024-11-20,7.55,1.607
2024-11-21,7.691,0.89
2024-11-22,1.14,0.736
2024-11-23,0.509,1.045
2024-11-24,0.106,0.874
2024-11-25,0.352,0.906
2024-11-26,11.933,0.833
2024-11-27,6.037,0.567
2024-11-28,0.023,1.002
2024-11-29,0.288,1.771
2024-11-30,2.796,1.796
2024-12-01,10.77,2.566
2024-12-02,13.601,1.946
2024-12-03,2.783,1.207
2024-12-04,1.782,1.076
2024-12-05,0.424,0.738
2024-12-06,0.029,1.188
2024-12-07,0.487,1.119
2024-12-08,1.321,0.794
2024-12-09,0.366,0.969
2024-12-10,0.788,1.159
2024-12-11,0.53,0.993
2024-12-12,22.826,1.245
2024-12-13,38.681,0.79
2024-12-14,1.887,0.922
2024-12-15,0.001,1.171
2024-12-16,0.01,1.214
2024-12-17,0.256,1.234
2024-12-18,0.069,1.274
2024-12-19,0.002,1.358
2024-12-20,0.0,1.746
2024-12-21,0.527,2.296
2024-12-22,0.298,2.099
2024-12-23,0.334,1.448
2024-12-24,0.037,1.4
2024-12-25,0.004,1.479
2024-12-26,0.044,1.381
2024-12-27,0.702,1.112
2024-12-28,0.315,1.046
2024-12-29,0.136,1.114
2024-12-30,0.34,0.818
2024-12-31,0.454,0.829
